"time","revolute1.w","revolute2.w"
0, 0,0
0.01, -0.251421689683735,0.333956328445173
0.02, -0.502702482506648,0.667545477668548
0.03, -0.753767077461522,1.00051361468137
0.04, -1.00442825491707,1.33222859008518
0.05, -1.25433606568413,1.66150823229425
0.06, -1.50296321502998,1.98656966802014
0.07, -1.74946712787439,2.30455924763129
0.08, -1.9927775196085,2.61184123474209
0.09, -2.23152997823796,2.90375910468955
0.1, -2.46415046484366,3.17490161286895
0.11, -2.68894650025545,3.41939249650359
0.12, -2.90420053824531,3.63117470998322
0.13, -3.10830777793461,3.8044576592563
0.14, -3.29991125039512,3.93417467364211
0.15, -3.47800392024073,4.01635388294119
0.16, -3.64196410133563,4.04829582883264
0.17, -3.79152565837996,4.02856609152647
0.18, -3.9266981955176,3.9568365099626
0.19, -4.04764955553205,3.83362185473521
0.2, -4.15457428663554,3.65996900370246
0.21, -4.24756936515648,3.43716334452139
0.22, -4.32653210054218,3.1664930761122
0.23, -4.39108887634871,2.84909067487805
0.24, -4.44054402498932,2.48582237804579
0.25, -4.47386001365342,2.07724344877059
0.26, -4.48966434447959,1.62358898403055
0.27, -4.48626713340221,1.12478237941462
0.28, -4.46170076437325,0.580450634286491
0.29, -4.41379414394948,-0.0100374382695805
0.3, -4.34024967467008,-0.647599417793441
0.31, -4.23871970921707,-1.33337467556359
0.32, -4.10700559140992,-2.06863025142688
0.33, -3.94323528130752,-2.85461095112473
0.34, -3.74604050453975,-3.692235835612
0.35, -3.51525803665068,-4.5810308773324
0.36, -3.25251191989074,-5.51756467006971
0.37, -2.9623889100826,-6.49247242111443
0.38, -2.65469942967209,-7.4843436994017
0.39, -2.34734004900388,-8.45144020498185
0.4, -2.06934265340054,-9.32237747131122
0.41, -1.86142945160094,-9.99301174706235
0.42, -1.76875345989144,-10.3447401572073
0.43, -1.82307846037606,-10.2925076618766
0.44, -2.02566184230348,-9.83185951377055
0.45, -2.34656763411407,-9.04063449488228
0.46, -2.74158841392206,-8.03228739529294
0.47, -3.16998726966003,-6.90802660329173
0.48, -3.60229211147876,-5.73733274810027
0.49, -4.02005622989073,-4.56051023969616
0.5, -4.41300187993121,-3.39783383008016
0.51, -4.7761869008211,-2.25817043110132
0.52, -5.10786566195891,-1.1449203394715
0.53, -5.4083637801609,-0.0589635197639895
0.54, -5.6792908394772,0.999498485195559
0.55, -5.92294028121221,2.02977001401848
0.56, -6.14174275088689,3.02968433031946
0.57, -6.33764279495384,3.99442991716513
0.58, -6.51135147878011,4.91495820564729
0.59, -6.66143260791722,5.77586475630292
0.6, -6.78327116421678,6.55291283957285
0.61, -6.86840598562545,7.21159158760335
0.62, -6.90483533751121,7.70850322392215
0.63, -6.87901940405396,7.9981517856831
0.64, -6.78070390362303,8.04770726540072
0.65, -6.60783446412942,7.8517800321878
0.66, -6.36881943132254,7.43893508448843
0.67, -6.07948578823614,6.86179379109332
0.68, -5.75753498161111,6.17938185918618
0.69, -5.41873174315694,5.44494841566807
0.7, -5.07427537539378,4.69740404824927
0.71, -4.73118113218375,3.96215619013362
0.72, -4.39325117684746,3.25392028931608
0.73, -4.06211651229879,2.5798463327426
0.74, -3.73817170427361,1.94242515741117
0.75, -3.4211732203157,1.34142681106821
0.76, -3.11055975397389,0.774997930714298
0.77, -2.80562551829653,0.240308150175088
0.78, -2.50564218859806,-0.2659563134544
0.79, -2.20990520410055,-0.747332315117738
0.8, -1.9177331462675,-1.20748124534614
0.81, -1.62846533592263,-1.65011571551626
0.82, -1.34146201275219,-2.07892592886191
0.83, -1.05610743901231,-2.49750968332493
0.84, -0.771825333553722,-2.90928248443442
0.85, -0.488115057866859,-3.31733716452743
0.86, -0.204617712663185,-3.72422158069581
0.87, 0.0787894596963538,-4.13163823044923
0.88, 0.361847302282391,-4.53998783626378
0.89, 0.643746478893181,-4.94784903196455
0.9, 0.922941284351841,-5.35139976737376
0.91, 1.19699409356478,-5.74391382802175
0.92, 1.46257385011902,-6.11571338476565
0.93, 1.71568888837876,-6.45480823436552
0.94, 1.95219729960322,-6.74837041639481
0.95, 2.16873307073207,-6.98544447036925
0.96, 2.36339485810931,-7.1589934601196
0.97, 2.53615865161137,-7.26716971080017
0.98, 2.68882961033455,-7.31324767559877
0.99, 2.82455972828016,-7.30428004779475
1, 2.94712664013166,-7.24904565823018
1.01, 3.06030881870101,-7.15626880009129
1.02, 3.16749847804196,-7.03352355168074
1.03, 3.27152896788618,-6.88675721924533
1.04, 3.37463033794615,-6.72018702147821
1.05, 3.47847254064725,-6.53645611167325
1.06, 3.58423669784357,-6.33687951543865
1.07, 3.69268637673613,-6.1217056506853
1.08, 3.80422997775589,-5.89036065927397
1.09, 3.91895962773713,-5.64165001052767
1.1, 4.03665242341288,-5.37387969239575
1.11, 4.15680398423143,-5.08505993044178
1.12, 4.27856898910867,-4.77294772765576
1.13, 4.40073908671435,-4.43514481711467
1.14, 4.52171030763325,-4.06919905638362
1.15, 4.6394258791513,-3.67266207854435
1.16, 4.75134476503394,-3.24319618659676
1.17, 4.85441874654215,-2.77865725400959
1.18, 4.94507098183751,-2.27717204179062
1.19, 5.01921674534875,-1.73720254461796
1.2, 5.07231689295311,-1.15756706874842
1.21, 5.09945015958944,-0.537429447094345
1.22, 5.09544016168716,0.12373256084864
1.23, 5.05506600491184,0.826203700354898
1.24, 4.97317786653419,1.57034286004929
1.25, 4.84497584619618,2.35683516423862
1.26, 4.66615385648034,3.18706251933539
1.27, 4.43298076492566,4.06365030984636
1.28, 4.1422993913271,4.9911997771926
1.29, 3.7913991344039,5.97719542690526
1.3, 3.37770867247668,7.03315643318079
1.31, 2.89828187552391,8.17614253307548
1.32, 2.34909866768377,9.43067883517272
1.33, 1.72431507772596,10.8309139843536
1.34, 1.01592096917867,12.4219682125898
1.35, 0.215413849302712,14.2562103407657
1.36, -0.676387542950553,16.367705551619
1.37, -1.61569923271308,18.6786312992554
1.38, -2.43607074593032,20.7691201812443
1.39, -2.79714622394164,21.7147879753314
1.4, -2.46395415908852,20.8630238514137
1.41, -1.6476338178207,18.8005381375417
1.42, -0.694683881788105,16.4704354572145
1.43, 0.216935076660517,14.324743478383
1.44, 1.03818246830912,12.4548136185032
1.45, 1.76667480186211,10.8295217974611
1.46, 2.41053716825503,9.39610760239176
1.47, 2.97768997422641,8.10846706611199
1.48, 3.47391844550078,6.93154109672718
1.49, 3.90320163939354,5.84007431511555
1.5, 4.26830948443261,4.81699068044641
1.51, 4.57181539785442,3.85058461112871
1.52, 4.8165093823194,2.93327997779593
1.53, 5.00567982412746,2.06058158177773
1.54, 5.14330209327656,1.22998194594583
1.55, 5.23402941044032,0.440236900251946
1.56, 5.28306458344572,-0.30925663668886
1.57, 5.29596200488844,-1.01885369859877
1.58, 5.27840248411969,-1.68899256708567
1.59, 5.23598561154867,-2.3204128050076
1.6, 5.17404928390033,-2.91428411886559
1.61, 5.09752259652207,-3.47225972926705
1.62, 5.01083990298336,-3.99646586436935
1.63, 4.91790323339964,-4.4894582780596
1.64, 4.82206988794738,-4.95416638512612
1.65, 4.72617222927716,-5.39383078850096
1.66, 4.6325037334836,-5.81177948626522
1.67, 4.54290450554176,-6.21139961311883
1.68, 4.45876908010858,-6.59595419016452
1.69, 4.38105189259649,-6.96834863896327
1.7, 4.31022275622226,-7.33081247850787
1.71, 4.24615632569977,-7.68442068040317
1.72, 4.18793952852196,-8.02840094984642
1.73, 4.13363019125059,-8.35932546061684
1.74, 4.07966901369194,-8.66934695255398
1.75, 4.02047669233228,-8.94491010059016
1.76, 3.94813407012642,-9.16582829611956
1.77, 3.85260389509983,-9.30589508427486
1.78, 3.72315769214628,-9.33701256628002
1.79, 3.55107202276123,-9.2370237585862
1.8, 3.33341396601986,-9.00069240373338
1.81, 3.07440163897255,-8.64351523382663
1.82, 2.78402057582552,-8.19744114468719
1.83, 2.47443104422807,-7.70016326199079
1.84, 2.15647553086304,-7.18482192453677
1.85, 1.83792624461086,-6.67492444272278
1.86, 1.52337546049323,-6.18413759394516
1.87, 1.21495222942853,-5.71850221144198
1.88, 0.913157409668425,-5.27896586075438
1.89, 0.617466927696414,-4.86319378547021
1.9, 0.326971218634888,-4.46748582829094
1.91, 0.0406050321629978,-4.087457588101
1.92, -0.242756287074189,-3.71831645011323
1.93, -0.524157187138226,-3.35527337519709
1.94, -0.804502616909812,-2.99371585528165
1.95, -1.08452706166955,-2.6293033082637
1.96, -1.36484176436724,-2.25783805799847
1.97, -1.64596292690904,-1.87520304357461
1.98, -1.92830595246854,-1.47741433213892
1.99, -2.21220749752744,-1.06060677029414
2, -2.49797858645856,-0.620943425362128
2.01, -2.78596342682167,-0.154525547301679
2.02, -3.07659608926591,0.34267352508106
2.03, -3.37046678697371,0.874887706878116
2.04, -3.66840563213336,1.44667681387439
2.05, -3.97157999700984,2.06307514522607
2.06, -4.28159846023375,2.72975204683978
2.07, -4.60061101025004,3.45315547586863
2.08, -4.93139632756654,4.24061812488334
2.09, -5.27736621236023,5.10020144918349
2.1, -5.64254551533032,6.04048181320021
2.11, -6.0308630120374,7.06821480940366
2.12, -6.44494575838428,8.18452412321839
2.13, -6.88289169512376,9.37502991373729
2.14, -7.33251021780915,10.5924822427875
2.15, -7.76282765123972,11.731550667978
2.16, -8.11855557496184,12.6131906331813
2.17, -8.33342891962986,13.0265574621115
2.18, -8.37055582940004,12.8528070751859
2.19, -8.25067055909955,12.1519158688389
2.2, -8.03238372846836,11.1040177541712
2.21, -7.77105633733945,9.88481039784671
2.22, -7.50008607413283,8.60755087642004
2.23, -7.23319169941288,7.32861700557031
2.24, -6.97186264930516,6.06892960835757
2.25, -6.71168731223458,4.83227758695798
2.26, -6.4458001415973,3.61513582462511
2.27, -6.16640352041132,2.41064954669503
2.28, -5.86616008662518,1.21195589304611
2.29, -5.53843135595151,0.0121607411013673
2.3, -5.17749718442253,-1.19591816221992
2.31, -4.77870243462551,-2.42001041137859
2.32, -4.33843050789684,-3.66901660990162
2.33, -3.85410157461878,-4.95341918882591
2.34, -3.32431339419188,-6.28505160977064
2.35, -2.7494933247169,-7.67528564927522
2.36, -2.13363245223421,-9.12995631613862
2.37, -1.489001569243,-10.6358730668159
2.38, -0.845430265017454,-12.1335557882038
2.39, -0.26375277024595,-13.4769195150017
2.4, 0.15923221822526,-14.4145468148821
2.41, 0.327310142958269,-14.687896275527
2.42, 0.219121090452495,-14.2394537064973
2.43, -0.0909694796663219,-13.2725923774852
2.44, -0.497324398102131,-12.0709997120423
2.45, -0.921963926256057,-10.8363011849214
2.46, -1.32360932822172,-9.66707699654589
2.47, -1.68496172944197,-8.59731739478964
2.48, -2.00059390534869,-7.63129113826912
2.49, -2.27026218475811,-6.76193651205597
2.5, -2.49587295689804,-5.97894260165345
2.51, -2.6800522682599,-5.27235820973832
2.52, -2.82553652945981,-4.6337722404462
2.53, -2.93507097689237,-4.0562398229976
2.54, -3.01134705203602,-3.53417625291889
2.55, -3.05696058636473,-3.06317846593293
2.56, -3.0744396186888,-2.63967450913793
2.57, -3.06624141367879,-2.26068707499161
2.58, -3.03470971810135,-1.92372104076083
2.59, -2.98208803078597,-1.62658334783748
2.6, -2.91050474227923,-1.36727143717891
2.61, -2.82195690483869,-1.14390376917998
2.62, -2.71829789681735,-0.95466979191789
2.63, -2.60123139521002,-0.797790908081786
2.64, -2.47231077151516,-0.671491827282302
2.65, -2.33294236550465,-0.573981999316073
2.66, -2.18439169346999,-0.503444797800759
2.67, -2.0277920246287,-0.458031648986339
2.68, -1.86415689668822,-0.435859461931151
2.69, -1.69438650424583,-0.435011178957911
2.7, -1.51929021580724,-0.453531125354692
2.71, -1.3395702470722,-0.489434156546444
2.72, -1.15586349795262,-0.540714180558759
2.73, -0.968739727296432,-0.605332346276428
2.74, -0.778699909104788,-0.681227647800172
2.75, -0.586202649468585,-0.766329381708916
2.76, -0.391653167839505,-0.858560746364555
2.77, -0.19541122648362,-0.955840784373094
2.78, 0.00219982698346877,-1.05610050172854
2.79, 0.200896135157271,-1.15727738299686
2.8, 0.40042769957886,-1.25732353328394
2.81, 0.600571836998663,-1.35421293832734
2.82, 0.801133638193367,-1.44593689649523
2.83, 1.00193902878974,-1.53051048490216
2.84, 1.20282348181995,-1.60597089250808
2.85, 1.40363136465226,-1.67037429257898
2.86, 1.60420090341365,-1.7217960200446
2.87, 1.80434187408274,-1.75832301835385
2.88, 2.00383857864334,-1.77805614223492
2.89, 2.20241443408621,-1.77910259271871
2.9, 2.39969901075211,-1.75957565968936
2.91, 2.59523861265232,-1.71759924085883
2.92, 2.78842868086131,-1.65130594096217
2.93, 2.97847802305239,-1.55885478610619
2.94, 3.1644305849232,-1.43843675417257
2.95, 3.34506573755049,-1.28831214750614
2.96, 3.51886548190963,-1.10677197949197
2.97, 3.68405639491507,-0.892205638999415
2.98, 3.83850628793637,-0.643197145933316
2.99, 3.97973977633592,-0.358429559538553
3, 4.10495365230754,-0.0367308603255731
