"time","Cntrl_PI_1.s_set.signal[1]","Cntrl_PI_2.s_set.signal[1]","Cntrl_PI_3.s_set.signal[1]","Cntrl_PI_4.s_set.signal[1]","Flash_1.Q","Flash_1.fl_in.W"
0,1,0.45,30,3,1000,40
1,1,0.45,30,3,1000,40
2,1,0.45,30,3,1000,40
3,1,0.45,30,3,1000,40
4,1,0.45,30,3,1000,40
5,1,0.45,30,3,1000,40
6,1,0.45,30,3,1000,40
7,1,0.45,30,3,1000,40
8,1,0.45,30,3,1000,40
9,1,0.45,30,3,1000,40
10,1,0.45,30,3,1000,40
11,1,0.45,30,3,1000,40
12,1,0.45,30,3,1000,40
13,1,0.45,30,3,1000,40
14,1,0.45,30,3,1000,40
15,1,0.45,30,3,1000,40
16,1,0.45,30,3,1000,40
17,1,0.45,30,3,1000,40
18,1,0.45,30,3,1000,40
19,1,0.45,30,3,1000,40
20,1,0.45,30,3,1000,40
21,1,0.45,30,3,1000,40
22,1,0.45,30,3,1000,40
23,1,0.45,30,3,1000,40
24,1,0.45,30,3,1000,40
25,1,0.45,30,3,1000,40
26,1,0.45,30,3,1000,40
27,1,0.45,30,3,1000,40
28,1,0.45,30,3,1000,40
29,1,0.45,30,3,1000,40
30,1,0.45,30,3,1000,40
31,1,0.45,30,3,1000,40
32,1,0.45,30,3,1000,40
33,1,0.45,30,3,1000,40
34,1,0.45,30,3,1000,40
35,1,0.45,30,3,1000,40
36,1,0.45,30,3,1000,40
37,1,0.45,30,3,1000,40
38,1,0.45,30,3,1000,40
39,1,0.45,30,3,1000,40
40,1,0.45,30,3,1000,40
41,1,0.45,30,3,1000,40
42,1,0.45,30,3,1000,40
43,1,0.45,30,3,1000,40
44,1,0.45,30,3,1000,40
45,1,0.45,30,3,1000,40
46,1,0.45,30,3,1000,40
47,1,0.45,30,3,1000,40
48,1,0.45,30,3,1000,40
49,1,0.45,30,3,1000,40
50,0.95,0.45,30,3,1000,40
51,0.95,0.45,30,3,1000,40
52,0.95,0.45,30,3,1000,40
53,0.95,0.45,30,3,1000,40
54,0.95,0.45,30,3,1000,40
55,0.95,0.45,30,3,1000,40
56,0.95,0.45,30,3,1000,40
57,0.95,0.45,30,3,1000,40
58,0.95,0.45,30,3,1000,40
59,0.95,0.45,30,3,1000,40
60,0.95,0.45,30,3,1000,40
61,0.95,0.45,30,3,1000,40
62,0.95,0.45,30,3,1000,40
63,0.95,0.45,30,3,1000,40
64,0.95,0.45,30,3,1000,40
65,0.95,0.45,30,3,1000,40
66,0.95,0.45,30,3,1000,40
67,0.95,0.45,30,3,1000,40
68,0.95,0.45,30,3,1000,40
69,0.95,0.45,30,3,1000,40
70,0.95,0.45,30,3,1000,40
71,0.95,0.45,30,3,1000,40
72,0.95,0.45,30,3,1000,40
73,0.95,0.45,30,3,1000,40
74,0.95,0.45,30,3,1000,40
75,0.95,0.45,30,3,1000,40
76,0.95,0.45,30,3,1000,40
77,0.95,0.45,30,3,1000,40
78,0.95,0.45,30,3,1000,40
79,0.95,0.45,30,3,1000,40
80,0.95,0.45,30,3,1000,40
81,0.95,0.45,30,3,1000,40
82,0.95,0.45,30,3,1000,40
83,0.95,0.45,30,3,1000,40
84,0.95,0.45,30,3,1000,40
85,0.95,0.45,30,3,1000,40
86,0.95,0.45,30,3,1000,40
87,0.95,0.45,30,3,1000,40
88,0.95,0.45,30,3,1000,40
89,0.95,0.45,30,3,1000,40
90,0.95,0.45,30,3,1000,40
91,0.95,0.45,30,3,1000,40
92,0.95,0.45,30,3,1000,40
93,0.95,0.45,30,3,1000,40
94,0.95,0.45,30,3,1000,40
95,0.95,0.45,30,3,1000,40
96,0.95,0.45,30,3,1000,40
97,0.95,0.45,30,3,1000,40
98,0.95,0.45,30,3,1000,40
99,0.95,0.45,30,3,1000,40
100,0.95,0.5,30,3,1000,40
101,0.95,0.5,30,3,1000,40
102,0.95,0.5,30,3,1000,40
103,0.95,0.5,30,3,1000,40
104,0.95,0.5,30,3,1000,40
105,0.95,0.5,30,3,1000,40
106,0.95,0.5,30,3,1000,40
107,0.95,0.5,30,3,1000,40
108,0.95,0.5,30,3,1000,40
109,0.95,0.5,30,3,1000,40
110,0.95,0.5,30,3,1000,40
111,0.95,0.5,30,3,1000,40
112,0.95,0.5,30,3,1000,40
113,0.95,0.5,30,3,1000,40
114,0.95,0.5,30,3,1000,40
115,0.95,0.5,30,3,1000,40
116,0.95,0.5,30,3,1000,40
117,0.95,0.5,30,3,1000,40
118,0.95,0.5,30,3,1000,40
119,0.95,0.5,30,3,1000,40
120,0.95,0.5,30,3,1000,40
121,0.95,0.5,30,3,1000,40
122,0.95,0.5,30,3,1000,40
123,0.95,0.5,30,3,1000,40
124,0.95,0.5,30,3,1000,40
125,0.95,0.5,30,3,1000,40
126,0.95,0.5,30,3,1000,40
127,0.95,0.5,30,3,1000,40
128,0.95,0.5,30,3,1000,40
129,0.95,0.5,30,3,1000,40
130,0.95,0.5,30,3,1000,40
131,0.95,0.5,30,3,1000,40
132,0.95,0.5,30,3,1000,40
133,0.95,0.5,30,3,1000,40
134,0.95,0.5,30,3,1000,40
135,0.95,0.5,30,3,1000,40
136,0.95,0.5,30,3,1000,40
137,0.95,0.5,30,3,1000,40
138,0.95,0.5,30,3,1000,40
139,0.95,0.5,30,3,1000,40
140,0.95,0.5,30,3,1000,40
141,0.95,0.5,30,3,1000,40
142,0.95,0.5,30,3,1000,40
143,0.95,0.5,30,3,1000,40
144,0.95,0.5,30,3,1000,40
145,0.95,0.5,30,3,1000,40
146,0.95,0.5,30,3,1000,40
147,0.95,0.5,30,3,1000,40
148,0.95,0.5,30,3,1000,40
149,0.95,0.5,30,3,1000,40
150,0.95,0.5,30,3,1000,40
151,0.95,0.5,35,3,1000,40
152,0.95,0.5,35,3,1000,40
153,0.95,0.5,35,3,1000,40
154,0.95,0.5,35,3,1000,40
155,0.95,0.5,35,3,1000,40
156,0.95,0.5,35,3,1000,40
157,0.95,0.5,35,3,1000,40
158,0.95,0.5,35,3,1000,40
159,0.95,0.5,35,3,1000,40
160,0.95,0.5,35,3,1000,40
161,0.95,0.5,35,3,1000,40
162,0.95,0.5,35,3,1000,40
163,0.95,0.5,35,3,1000,40
164,0.95,0.5,35,3,1000,40
165,0.95,0.5,35,3,1000,40
166,0.95,0.5,35,3,1000,40
167,0.95,0.5,35,3,1000,40
168,0.95,0.5,35,3,1000,40
169,0.95,0.5,35,3,1000,40
170,0.95,0.5,35,3,1000,40
171,0.95,0.5,35,3,1000,40
172,0.95,0.5,35,3,1000,40
173,0.95,0.5,35,3,1000,40
174,0.95,0.5,35,3,1000,40
175,0.95,0.5,35,3,1000,40
176,0.95,0.5,35,3,1000,40
177,0.95,0.5,35,3,1000,40
178,0.95,0.5,35,3,1000,40
179,0.95,0.5,35,3,1000,40
180,0.95,0.5,35,3,1000,40
181,0.95,0.5,35,3,1000,40
182,0.95,0.5,35,3,1000,40
183,0.95,0.5,35,3,1000,40
184,0.95,0.5,35,3,1000,40
185,0.95,0.5,35,3,1000,40
186,0.95,0.5,35,3,1000,40
187,0.95,0.5,35,3,1000,40
188,0.95,0.5,35,3,1000,40
189,0.95,0.5,35,3,1000,40
190,0.95,0.5,35,3,1000,40
191,0.95,0.5,35,3,1000,40
192,0.95,0.5,35,3,1000,40
193,0.95,0.5,35,3,1000,40
194,0.95,0.5,35,3,1000,40
195,0.95,0.5,35,3,1000,40
196,0.95,0.5,35,3,1000,40
197,0.95,0.5,35,3,1000,40
198,0.95,0.5,35,3,1000,40
199,0.95,0.5,35,3,1000,40
200,0.95,0.5,35,3,1000,40
201,0.95,0.5,28,3,1000,40
202,0.95,0.5,28,3,1000,40
203,0.95,0.5,28,3,1000,40
204,0.95,0.5,28,3,1000,40
205,0.95,0.5,28,3,1000,40
206,0.95,0.5,28,3,1000,40
207,0.95,0.5,28,3,1000,40
208,0.95,0.5,28,3,1000,40
209,0.95,0.5,28,3,1000,40
210,0.95,0.5,28,3,1000,40
211,0.95,0.5,28,3,1000,40
212,0.95,0.5,28,3,1000,40
213,0.95,0.5,28,3,1000,40
214,0.95,0.5,28,3,1000,40
215,0.95,0.5,28,3,1000,40
216,0.95,0.5,28,3,1000,40
217,0.95,0.5,28,3,1000,40
218,0.95,0.5,28,3,1000,40
219,0.95,0.5,28,3,1000,40
220,0.95,0.5,28,3,1000,40
221,0.95,0.5,28,3,1000,40
222,0.95,0.5,28,3,1000,40
223,0.95,0.5,28,3,1000,40
224,0.95,0.5,28,3,1000,40
225,0.95,0.5,28,3,1000,40
226,0.95,0.5,28,3,1000,40
227,0.95,0.5,28,3,1000,40
228,0.95,0.5,28,3,1000,40
229,0.95,0.5,28,3,1000,40
230,0.95,0.5,28,3,1000,40
231,0.95,0.5,28,3,1000,40
232,0.95,0.5,28,3,1000,40
233,0.95,0.5,28,3,1000,40
234,0.95,0.5,28,3,1000,40
235,0.95,0.5,28,3,1000,40
236,0.95,0.5,28,3,1000,40
237,0.95,0.5,28,3,1000,40
238,0.95,0.5,28,3,1000,40
239,0.95,0.5,28,3,1000,40
240,0.95,0.5,28,3,1000,40
241,0.95,0.5,28,3,1000,40
242,0.95,0.5,28,3,1000,40
243,0.95,0.5,28,3,1000,40
244,0.95,0.5,28,3,1000,40
245,0.95,0.5,28,3,1000,40
246,0.95,0.5,28,3,1000,40
247,0.95,0.5,28,3,1000,40
248,0.95,0.5,28,3,1000,40
249,0.95,0.5,28,3,1000,40
250,0.95,0.5,28,3,1000,40
251,0.95,0.5,28,3.5,1000,40
252,0.95,0.5,28,3.5,1000,40
253,0.95,0.5,28,3.5,1000,40
254,0.95,0.5,28,3.5,1000,40
255,0.95,0.5,28,3.5,1000,40
256,0.95,0.5,28,3.5,1000,40
257,0.95,0.5,28,3.5,1000,40
258,0.95,0.5,28,3.5,1000,40
259,0.95,0.5,28,3.5,1000,40
260,0.95,0.5,28,3.5,1000,40
261,0.95,0.5,28,3.5,1000,40
262,0.95,0.5,28,3.5,1000,40
263,0.95,0.5,28,3.5,1000,40
264,0.95,0.5,28,3.5,1000,40
265,0.95,0.5,28,3.5,1000,40
266,0.95,0.5,28,3.5,1000,40
267,0.95,0.5,28,3.5,1000,40
268,0.95,0.5,28,3.5,1000,40
269,0.95,0.5,28,3.5,1000,40
270,0.95,0.5,28,3.5,1000,40
271,0.95,0.5,28,3.5,1000,40
272,0.95,0.5,28,3.5,1000,40
273,0.95,0.5,28,3.5,1000,40
274,0.95,0.5,28,3.5,1000,40
275,0.95,0.5,28,3.5,1000,40
276,0.95,0.5,28,3.5,1000,40
277,0.95,0.5,28,3.5,1000,40
278,0.95,0.5,28,3.5,1000,40
279,0.95,0.5,28,3.5,1000,40
280,0.95,0.5,28,3.5,1000,40
281,0.95,0.5,28,3.5,1000,40
282,0.95,0.5,28,3.5,1000,40
283,0.95,0.5,28,3.5,1000,40
284,0.95,0.5,28,3.5,1000,40
285,0.95,0.5,28,3.5,1000,40
286,0.95,0.5,28,3.5,1000,40
287,0.95,0.5,28,3.5,1000,40
288,0.95,0.5,28,3.5,1000,40
289,0.95,0.5,28,3.5,1000,40
290,0.95,0.5,28,3.5,1000,40
291,0.95,0.5,28,3.5,1000,40
292,0.95,0.5,28,3.5,1000,40
293,0.95,0.5,28,3.5,1000,40
294,0.95,0.5,28,3.5,1000,40
295,0.95,0.5,28,3.5,1000,40
296,0.95,0.5,28,3.5,1000,40
297,0.95,0.5,28,3.5,1000,40
298,0.95,0.5,28,3.5,1000,40
299,0.95,0.5,28,3.5,1000,40
300,0.95,0.5,28,3.5,1000,40
